trial,analysis,status,r1,@n1[dr],@rm[r],pk,npk,tpk,over,tr,q
180,tran,ok,10.8465542791,-8.44584174394,966.685752091,1.53263048281,4,0.000100597101628,0.532630482813,,
181,tran,ok,19.1212966536,-0.924013017075,997.710848418,1.32705233082,2,0.000103733155532,0.327052330821,,
182,tran,ok,15.6786753147,7.77339823734,1029.76486465,1.40634558844,3,0.000102188618416,0.406345588444,,
183,tran,ok,26.0831422168,7.3921970346,1026.27714459,1.20116816017,1,0.000108280116865,0.201168160168,,
184,tran,ok,34.4533788605,-1.19361803049,982.563838911,1.08743176064,1,0.000117057352692,0.0874317606403,,
185,tran,ok,27.4021896716,-7.97498070482,999.892633089,1.17926065396,1,0.000109356040638,0.179260653963,,
186,tran,ok,16.6198199366,9.10740066031,998.922315657,1.38270717659,2,0.000102559977505,0.382707176595,,
187,tran,ok,19.5885881347,13.9945854972,1012.03694897,1.31848664973,2,0.000103990170331,0.318486649732,,
188,tran,ok,10.3732928155,0.516400645513,1027.06138146,1.54993243753,4,0.00010049858359,0.549932437528,,
189,tran,ok,23.7172207694,2.09188358756,1017.36889865,1.23985049049,2,0.000106494457169,0.239850490491,,
190,tran,ok,0.128086890054,1.03405859965,975.26464592,1.94410221161,5,9.93899866926e-05,0.944102211606,,
191,tran,ok,22.5136155279,14.1142634093,1003.89674775,1.26136535526,2,0.000105697417628,0.261365355255,,
192,tran,ok,25.4967078098,1.9619427475,992.016847003,1.20903511909,1,0.000107790662963,0.209035119088,,
193,tran,ok,24.4973445955,-7.16828721275,1000.72051473,1.2254813305,2,0.000107034189179,0.225481330504,,
194,tran,ok,19.8399222193,-11.7242894111,1012.12331377,1.31229558501,2,0.000104109967809,0.312295585012,,
195,tran,ok,29.3429774929,-3.7302701537,967.115308713,1.15012187221,1,0.000111122567428,0.150121872213,,
196,tran,ok,33.8779952283,3.66321109086,1020.56352877,1.09561229377,1,0.000116346361919,0.0956122937699,,
197,tran,ok,24.9932452364,-1.17877211887,1002.32306621,1.21755320521,1,0.00010741109399,0.21755320521,,
198,tran,ok,20.0812654507,26.644844406,1025.29872882,1.30937618479,2,0.000104265919308,0.309376184792,,
199,tran,ok,31.5780394626,0.582383029087,967.109882758,1.12086130352,1,0.000113485760185,0.120861303518,,
200,tran,ok,4.27679961705,-14.9055725758,984.878080179,1.76033461715,5,9.95145042564e-05,0.760334617153,,
201,tran,ok,6.90799530605,0,1000,1.66267354435,,,,3.574602e-05,3.3253470887
202,tran,ok,20.7202894651,0,1000,1.29453874029,,,,4.395341e-05,2.58907748059
203,tran,ok,26.1350072126,0,1000,1.19903563274,,,,4.827742e-05,2.39807126548
204,tran,ok,10.7097941159,0,1000,1.53859500132,,,,3.76879e-05,3.07719000264
205,tran,ok,15.9103514309,0,1000,1.39923209352,,,,4.070101e-05,2.79846418705
206,tran,ok,33.9570622793,0,1000,1.09375263059,,,,5.627374e-05,2.18750526119
207,tran,ok,33.7318155677,0,1000,1.0963407528,,,,5.600475e-05,2.1926815056
208,tran,ok,23.4670599626,0,1000,1.24349216075,,,,4.604773e-05,2.4869843215
209,tran,ok,14.7209193674,0,1000,1.4285538049,,,,3.997447e-05,2.8571076098
210,tran,ok,18.5944597427,0,1000,1.3383637759,,,,4.245341e-05,2.67672755179
211,tran,ok,14.7115407138,0,1000,1.42879050301,,,,3.996882e-05,2.85758100601
212,tran,ok,2.1083610976,0,1000,1.85305348158,,,,3.355718e-05,3.70610696315
213,tran,ok,16.197040346,0,1000,1.39236578868,,,,4.088063e-05,2.78473157735
214,tran,ok,-3.64477958437,0,1000,4.28442036491,,,,3.125414e-05,8.56884072982
215,tran,ok,22.9078965108,0,1000,1.25348595728,,,,4.560778e-05,2.50697191456
216,tran,ok,36.4940961878,0,1000,1.06660616281,,,,5.946883e-05,2.13321232561
217,tran,ok,22.6671695024,0,1000,1.25784710495,,,,4.541971e-05,2.51569420991
218,tran,ok,15.5321707455,0,1000,1.40840729946,,,,4.0468e-05,2.81681459893
219,tran,ok,26.3644909979,0,1000,1.19540329472,,,,4.847844e-05,2.39080658944
220,tran,ok,14.9493855272,0,1000,1.42281484256,,,,4.011259e-05,2.84562968513
